country_code,year,compulsory_education_duration,education_expenditure_gdp_rate,literacy_rate,completion_rate,region,income_group,country_name,learning_outcome,gdppc,population,education_spent
ABW,2000,,4.71468019485474,97.2912521362305,54.2368342081706,Latin America & Caribbean,High income,Aruba,,,,
AFG,2000,6.0,1.72997999191284,18.1576805114746,4.31551003456116,South Asia,Low income,Afghanistan,,502.3727,22461.0,21.970745897293067
AGO,2000,4.0,2.60753011703491,,,Sub-Saharan Africa,Lower middle income,Angola,,2013.6362,11676.39962,52.50617036251732
ALB,2000,8.0,3.4301700592041,,,Europe & Central Asia,Upper middle income,Albania,390.8694366666667,4808.4796,3164.048845,164.93902754213704
AND,2000,10.0,3.71327996253967,,,Europe & Central Asia,High income,Andorra,,,,
ARE,2000,6.0,,71.2352981567383,22.6686305999756,Middle East & North Africa,High income,United Arab Emirates,,48888.0321,3130.321897,
ARG,2000,10.0,4.58030986785889,96.0407180786133,40.44303226470947,Latin America & Caribbean,Upper middle income,Argentina,421.60932333333335,14368.9427,37336.15193,658.1421003950896
ARM,2000,10.0,2.77273011207581,98.7519607543945,,Europe & Central Asia,Upper middle income,Armenia,,5139.8255,2966.021392,142.51348934665106
ASM,2000,,,97.3441619873047,81.3000030517578,East Asia & Pacific,Upper middle income,American Samoa,,,,
ATG,2000,11.0,2.75396990776062,,,Latin America & Caribbean,High income,Antigua and Barbuda,,,,
AUS,2000,10.0,4.89146995544434,,69.8000030517578,East Asia & Pacific,High income,Australia,540.4638666666666,36603.045,18902.43425,1790.4269489527717
AUT,2000,9.0,5.58880996704102,,,Europe & Central Asia,High income,Austria,525.26823,34796.2595,8058.629392,1944.6968190934579
AZE,2000,9.0,3.85399007797241,98.7918014526367,94.91125106811525,Europe & Central Asia,Upper middle income,Azerbaijan,,4214.8889,8127.306824,162.44140000356046
BDI,2000,,2.64547991752625,59.3036193847656,1.859750002622605,Sub-Saharan Africa,Low income,Burundi,,739.7609,6282.0,19.570226047211445
BEL,2000,12.0,3.04947996139526,,64.18024826049805,Europe & Central Asia,High income,Belgium,520.1101600000001,33719.7698,10253.23601,909.3640576805509
BEN,2000,6.0,2.11366009712219,27.2451705932617,5.43198484182358,Sub-Saharan Africa,Lower middle income,Benin,,1908.9366,6677.134,40.348431193561034
BFA,2000,10.0,1.44026005268097,12.8481702804565,,Sub-Saharan Africa,Low income,Burkina Faso,,1275.4819,11405.08398,18.086424236294395
BGD,2000,5.0,2.12508010864258,35.3193016052246,12.86266040802,South Asia,Lower middle income,Bangladesh,,1485.3092,135211.1201,31.564010361038232
BGR,2000,9.0,2.73942995071411,,66.74172973632815,Europe & Central Asia,Upper middle income,Bulgaria,453.44509999999997,8410.795,8334.862804,227.97760683098784
BHR,2000,,,84.0138320922852,35.4000015258789,Middle East & North Africa,High income,Bahrain,,17021.7224,670.7018816,
BHS,2000,12.0,2.23284006118774,,94.30047607421875,Latin America & Caribbean,High income,"Bahamas, The",,,,
BIH,2000,8.0,,96.6631011962891,,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,,7082.0353,3901.374068,
BLR,2000,9.0,6.19661998748779,99.5907287597656,42.96910953521731,Europe & Central Asia,Upper middle income,Belarus,,9110.9795,10033.9507,564.572776752915
BLZ,2000,8.0,5.02842998504639,76.9029769897461,21.7915992736816,Latin America & Caribbean,Lower middle income,Belize,,,,
BMU,2000,13.0,2.15227007865906,,91.5443572998047,North America,High income,Bermuda,,,,
BOL,2000,8.0,,79.9917678833008,35.8105141321818,Latin America & Caribbean,Lower middle income,Bolivia,,4173.5495,8195.101,
BRA,2000,8.0,3.94893002510071,86.3678817749023,11.173473358154304,Latin America & Caribbean,Upper middle income,Brazil,391.77788333333336,9834.4244,176369.3734,388.35453792743033
BRB,2000,11.0,4.71585988998413,99.5999984741211,82.2382621765137,Latin America & Caribbean,High income,Barbados,,12600.0226,274.0,594.1994119223355
BRN,2000,,3.70590996742249,87.8041763305664,39.5932388305664,East Asia & Pacific,High income,Brunei Darussalam,,,,
BTN,2000,,5.78675985336304,,,South Asia,Lower middle income,Bhutan,,,,
BWA,2000,,6.84061002731323,68.5809097290039,4.14686489105225,Sub-Saharan Africa,Upper middle income,Botswana,389.93667500000004,8044.142,1664.687689,392.2152687090395
CAF,2000,10.0,1.61265003681183,50.6451683044434,9.44592952728271,Sub-Saharan Africa,Low income,Central African Republic,,963.9462,3980.0,15.545078749146235
CAN,2000,10.0,5.42331981658936,,66.73650360107423,North America,High income,Canada,542.9105,36942.5623,30822.90526,2003.5133019717698
CHE,2000,11.0,4.64836978912354,,19.4386806488037,Europe & Central Asia,High income,Switzerland,518.8133,43251.1038,7313.809539,2010.4712425016633
CHI,2000,,,,,Europe & Central Asia,High income,Channel Islands,,,,
CHL,2000,8.0,3.77583003044128,94.2911376953125,20.593539237976056,Latin America & Caribbean,High income,Chile,422.82444000000004,15211.6233,15284.78997,574.3650406790028
CHN,2000,9.0,1.88803994655609,90.9202117919922,52.2603607177734,East Asia & Pacific,Upper middle income,China,,4730.3544,1258400.921,84.33376565132147
